"base","pattern","assettype","assetcount","assetsize","totalpointcount","hasCRS","minx","miny","maxx","maxy","crs","assignedCRS"
"T:\FS\Reference\RSImagery\ProcessedData\r10_tnf\RSImagery\Geo\DEM\LiDAR\2000_03_TNF_3Di\JRD\class\gravina\lasdata\NAD27","\.las","points",1,40407967,2020387,FALSE,3078050.5,1239684.75,3102322.5,1258007.13,"",""
"T:\FS\Reference\RSImagery\ProcessedData\r10_tnf\RSImagery\Geo\DEM\LiDAR\2000_03_TNF_3Di\JRD\class\gravina\lasdata\NAD83","\.las","points",1,40407967,2020387,FALSE,3078050.5,1239684.75,3102322.5,1258007.13,"",""
"T:\FS\Reference\RSImagery\ProcessedData\r10_tnf\RSImagery\Geo\DEM\LiDAR\2000_03_TNF_3Di\JRD\class\highbush\lasdata\NAD27\bald","\.las","points",1,11889747,594476,FALSE,3001621.5,1641126,3014022.25,1650789.38,"",""
"T:\FS\Reference\RSImagery\ProcessedData\r10_tnf\RSImagery\Geo\DEM\LiDAR\2000_03_TNF_3Di\JRD\class\highbush\lasdata\NAD27\merged","\.las","points",1,20224767,1011227,FALSE,3001621.5,1641126,3014022.25,1650789.38,"",""
"T:\FS\Reference\RSImagery\ProcessedData\r10_tnf\RSImagery\Geo\DEM\LiDAR\2000_03_TNF_3Di\JRD\class\highbush\lasdata\NAD27\veg","\.las","points",1,8335247,416751,FALSE,3001621.5,1641126,3014022.25,1650789.38,"",""
"T:\FS\Reference\RSImagery\ProcessedData\r10_tnf\RSImagery\Geo\DEM\LiDAR\2000_03_TNF_3Di\JRD\class\highbush\lasdata\NAD83\bald","\.las","points",1,11889747,594476,FALSE,3001621.5,1641126,3014022.25,1650789.38,"",""
"T:\FS\Reference\RSImagery\ProcessedData\r10_tnf\RSImagery\Geo\DEM\LiDAR\2000_03_TNF_3Di\JRD\class\highbush\lasdata\NAD83\merged","\.las","points",1,20224767,1011227,FALSE,3001621.5,1641126,3014022.25,1650789.38,"",""
"T:\FS\Reference\RSImagery\ProcessedData\r10_tnf\RSImagery\Geo\DEM\LiDAR\2000_03_TNF_3Di\JRD\class\highbush\lasdata\NAD83\veg","\.las","points",1,8335247,416751,FALSE,3001621.5,1641126,3014022.25,1650789.38,"",""
"T:\FS\Reference\RSImagery\ProcessedData\r10_tnf\RSImagery\Geo\DEM\LiDAR\2000_03_TNF_3Di\JRD\class\hobarts\lasdata\NAD27\bald","\.las","points",1,8992687,449623,FALSE,2772290.75,2039084.63,2779657,2044397.63,"",""
"T:\FS\Reference\RSImagery\ProcessedData\r10_tnf\RSImagery\Geo\DEM\LiDAR\2000_03_TNF_3Di\JRD\class\hobarts\lasdata\NAD27\merged","\.las","points",1,41393187,2069648,FALSE,2772290.75,2039084.25,2779657,2044397.63,"",""
