"base","pattern","assettype","assetcount","assetsize","totalpointcount","hasCRS","minx","miny","maxx","maxy","crs","assignedCRS"
"Q:\4FRI_Phase1\Points\All_Returns","\.las","points",2393,1077836277329,38494124644,FALSE,449731.09,3772961.68,536447.64,3851618.04,"","COMPOUNDCRS[""NAD83 / UTM zone 12N + NAVD88 height"",
    PROJCRS[""NAD83 / UTM zone 12N"",
        BASEGEOGCRS[""NAD83"",
            DATUM[""North American Datum 1983"",
                ELLIPSOID[""GRS 1980"",6378137,298.257222101,
                    LENGTHUNIT[""metre"",1]]],
            PRIMEM[""Greenwich"",0,
                ANGLEUNIT[""degree"",0.0174532925199433]],
            ID[""EPSG"",4269]],
        CONVERSION[""UTM zone 12N"",
            METHOD[""Transverse Mercator"",
                ID[""EPSG"",9807]],
            PARAMETER[""Latitude of natural origin"",0,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8801]],
            PARAMETER[""Longitude of natural origin"",-111,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8802]],
            PARAMETER[""Scale factor at natural origin"",0.9996,
                SCALEUNIT[""unity"",1],
                ID[""EPSG"",8805]],
            PARAMETER[""False easting"",500000,
                LENGTHUNIT[""metre"",1],
                ID[""EPSG"",8806]],
            PARAMETER[""False northing"",0,
                LENGTHUNIT[""metre"",1],
                ID[""EPSG"",8807]]],
        CS[Cartesian,2],
            AXIS[""easting"",east,
                ORDER[1],
                LENGTHUNIT[""metre"",1]],
            AXIS[""northing"",north,
                ORDER[2],
                LENGTHUNIT[""metre"",1]],
        ID[""EPSG"",26912]],
    VERTCRS[""NAVD88 height"",
        VDATUM[""North American Vertical Datum 1988""],
        CS[vertical,1],
            AXIS[""gravity-related height"",up,
                LENGTHUNIT[""metre"",1]],
        ID[""EPSG"",5703]]]"
"Q:\4FRI_Phase1\Points\Ground_Returns","\.las","points",2393,393687733481,14060248078,FALSE,449731.09,3772961.68,536447.64,3851618.04,"","COMPOUNDCRS[""NAD83 / UTM zone 12N + NAVD88 height"",
    PROJCRS[""NAD83 / UTM zone 12N"",
        BASEGEOGCRS[""NAD83"",
            DATUM[""North American Datum 1983"",
                ELLIPSOID[""GRS 1980"",6378137,298.257222101,
                    LENGTHUNIT[""metre"",1]]],
            PRIMEM[""Greenwich"",0,
                ANGLEUNIT[""degree"",0.0174532925199433]],
            ID[""EPSG"",4269]],
        CONVERSION[""UTM zone 12N"",
            METHOD[""Transverse Mercator"",
                ID[""EPSG"",9807]],
            PARAMETER[""Latitude of natural origin"",0,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8801]],
            PARAMETER[""Longitude of natural origin"",-111,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8802]],
            PARAMETER[""Scale factor at natural origin"",0.9996,
                SCALEUNIT[""unity"",1],
                ID[""EPSG"",8805]],
            PARAMETER[""False easting"",500000,
                LENGTHUNIT[""metre"",1],
                ID[""EPSG"",8806]],
            PARAMETER[""False northing"",0,
                LENGTHUNIT[""metre"",1],
                ID[""EPSG"",8807]]],
        CS[Cartesian,2],
            AXIS[""easting"",east,
                ORDER[1],
                LENGTHUNIT[""metre"",1]],
            AXIS[""northing"",north,
                ORDER[2],
                LENGTHUNIT[""metre"",1]],
        ID[""EPSG"",26912]],
    VERTCRS[""NAVD88 height"",
        VDATUM[""North American Vertical Datum 1988""],
        CS[vertical,1],
            AXIS[""gravity-related height"",up,
                LENGTHUNIT[""metre"",1]],
        ID[""EPSG"",5703]]]"
"Q:\4FRI_Phase2\All_Returns","\.las","points",3006,2273720116962,81204254571,FALSE,519967.74,3714595.15,681369.57,3828612.33,"","COMPOUNDCRS[""NAD83 / UTM zone 12N + NAVD88 height"",
    PROJCRS[""NAD83 / UTM zone 12N"",
        BASEGEOGCRS[""NAD83"",
            DATUM[""North American Datum 1983"",
                ELLIPSOID[""GRS 1980"",6378137,298.257222101,
                    LENGTHUNIT[""metre"",1]]],
            PRIMEM[""Greenwich"",0,
                ANGLEUNIT[""degree"",0.0174532925199433]],
            ID[""EPSG"",4269]],
        CONVERSION[""UTM zone 12N"",
            METHOD[""Transverse Mercator"",
                ID[""EPSG"",9807]],
            PARAMETER[""Latitude of natural origin"",0,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8801]],
            PARAMETER[""Longitude of natural origin"",-111,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8802]],
            PARAMETER[""Scale factor at natural origin"",0.9996,
                SCALEUNIT[""unity"",1],
                ID[""EPSG"",8805]],
            PARAMETER[""False easting"",500000,
                LENGTHUNIT[""metre"",1],
                ID[""EPSG"",8806]],
            PARAMETER[""False northing"",0,
                LENGTHUNIT[""metre"",1],
                ID[""EPSG"",8807]]],
        CS[Cartesian,2],
            AXIS[""easting"",east,
                ORDER[1],
                LENGTHUNIT[""metre"",1]],
            AXIS[""northing"",north,
                ORDER[2],
                LENGTHUNIT[""metre"",1]],
        ID[""EPSG"",26912]],
    VERTCRS[""NAVD88 height"",
        VDATUM[""North American Vertical Datum 1988""],
        CS[vertical,1],
            AXIS[""gravity-related height"",up,
                LENGTHUNIT[""metre"",1]],
        ID[""EPSG"",5703]]]"
"Q:\AnimasNM_BLM\UTM13\LAS_1.4","\.las","points",434,141266026618,4708855373,TRUE,211948.5,4067581.12,253344.59,4110895.22,"PROJCS[""NAD_1983_2011_UTM_Zone_13N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137,298.257222101004]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]], PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000],PARAMETER[""False_Northing"",0],PARAMETER[""Central_Meridian"",-105],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0],UNIT[""Meter"",1]]",""
"Q:\AnimasNM_BLM\UTM13\LAS_1.4_Project","\.las","points",434,141266067414,4708855373,TRUE,211948.5,4067581.12,253344.59,4110895.22,"PROJCS[""NAD_1983_2011_UTM_Zone_13N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137,298.257222101004]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]], PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000],PARAMETER[""False_Northing"",0],PARAMETER[""Central_Meridian"",-105],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0],UNIT[""Meter"",1]]",""
"Q:\AnimasNM_BLM\UTM13\Swath_LAS_1.4","\.las","points",63,168336599226,5611218206,TRUE,210402.41,4065611.11,254621.68,4112273.32,"PROJCS[""NAD_1983_2011_UTM_Zone_13N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137,298.257222101004]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]], PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000],PARAMETER[""False_Northing"",0],PARAMETER[""Central_Meridian"",-105],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0],UNIT[""Meter"",1]]",""
"Q:\Pinalenos_2008\Deliverables\Points\All_returns","\.las","points",236,81001981456,2892925979,FALSE,586817.64,3605865.99,614799.81,3627551.13,"","COMPOUNDCRS[""NAD83 / Arizona Central + NAVD88 height"",
    PROJCRS[""NAD83 / Arizona Central"",
        BASEGEOGCRS[""NAD83"",
            DATUM[""North American Datum 1983"",
                ELLIPSOID[""GRS 1980"",6378137,298.257222101,
                    LENGTHUNIT[""metre"",1]]],
            PRIMEM[""Greenwich"",0,
                ANGLEUNIT[""degree"",0.0174532925199433]],
            ID[""EPSG"",4269]],
        CONVERSION[""unnamed"",
            METHOD[""Transverse Mercator"",
                ID[""EPSG"",9807]],
            PARAMETER[""Latitude of natural origin"",31,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8801]],
            PARAMETER[""Longitude of natural origin"",-111.916666666667,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8802]],
            PARAMETER[""Scale factor at natural origin"",0.9999,
                SCALEUNIT[""unity"",1],
                ID[""EPSG"",8805]],
            PARAMETER[""False easting"",700000,
                LENGTHUNIT[""foot"",0.3048],
                ID[""EPSG"",8806]],
            PARAMETER[""False northing"",0,
                LENGTHUNIT[""foot"",0.3048],
                ID[""EPSG"",8807]]],
        CS[Cartesian,2],
            AXIS[""easting"",east,
                ORDER[1],
                LENGTHUNIT[""foot"",0.3048,
                    ID[""9002"",""EPSG""]]],
            AXIS[""northing"",north,
                ORDER[2],
                LENGTHUNIT[""foot"",0.3048,
                    ID[""9002"",""EPSG""]]]],
    VERTCRS[""NAVD88 height"",
        VDATUM[""North American Vertical Datum 1988""],
        CS[vertical,1],
            AXIS[""gravity-related height"",up,
                LENGTHUNIT[""metre"",1]],
        ID[""EPSG"",5703]]]"
"Q:\SWJemez_2012\12-113_as_corrected_from_3DiWest_15oct\Points\All_Returns\Error_LAS_tiles","\.las","points",4,1290252236,46080390,FALSE,353053.4,3956032.01,354229.42,3958823.71,"","COMPOUNDCRS[""NAD83 / UTM zone 13N + NAVD88 height"",
    PROJCRS[""NAD83 / UTM zone 13N"",
        BASEGEOGCRS[""NAD83"",
            DATUM[""North American Datum 1983"",
                ELLIPSOID[""GRS 1980"",6378137,298.257222101,
                    LENGTHUNIT[""metre"",1]]],
            PRIMEM[""Greenwich"",0,
                ANGLEUNIT[""degree"",0.0174532925199433]],
            ID[""EPSG"",4269]],
        CONVERSION[""UTM zone 13N"",
            METHOD[""Transverse Mercator"",
                ID[""EPSG"",9807]],
            PARAMETER[""Latitude of natural origin"",0,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8801]],
            PARAMETER[""Longitude of natural origin"",-105,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8802]],
            PARAMETER[""Scale factor at natural origin"",0.9996,
                SCALEUNIT[""unity"",1],
                ID[""EPSG"",8805]],
            PARAMETER[""False easting"",500000,
                LENGTHUNIT[""metre"",1],
                ID[""EPSG"",8806]],
            PARAMETER[""False northing"",0,
                LENGTHUNIT[""metre"",1],
                ID[""EPSG"",8807]]],
        CS[Cartesian,2],
            AXIS[""easting"",east,
                ORDER[1],
                LENGTHUNIT[""metre"",1]],
            AXIS[""northing"",north,
                ORDER[2],
                LENGTHUNIT[""metre"",1]],
        ID[""EPSG"",26913]],
    VERTCRS[""NAVD88 height"",
        VDATUM[""North American Vertical Datum 1988""],
        CS[vertical,1],
            AXIS[""gravity-related height"",up,
                LENGTHUNIT[""metre"",1]],
        ID[""EPSG"",5703]]]"
"Q:\SWJemez_2012\12-113_as_corrected_from_3DiWest_15oct\Points\All_Returns","\.las","points",742,227929409806,8140327346,FALSE,337746.26,3943276.74,366885.96,3982837.73,"","COMPOUNDCRS[""NAD83 / UTM zone 13N + NAVD88 height"",
    PROJCRS[""NAD83 / UTM zone 13N"",
        BASEGEOGCRS[""NAD83"",
            DATUM[""North American Datum 1983"",
                ELLIPSOID[""GRS 1980"",6378137,298.257222101,
                    LENGTHUNIT[""metre"",1]]],
            PRIMEM[""Greenwich"",0,
                ANGLEUNIT[""degree"",0.0174532925199433]],
            ID[""EPSG"",4269]],
        CONVERSION[""UTM zone 13N"",
            METHOD[""Transverse Mercator"",
                ID[""EPSG"",9807]],
            PARAMETER[""Latitude of natural origin"",0,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8801]],
            PARAMETER[""Longitude of natural origin"",-105,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8802]],
            PARAMETER[""Scale factor at natural origin"",0.9996,
                SCALEUNIT[""unity"",1],
                ID[""EPSG"",8805]],
            PARAMETER[""False easting"",500000,
                LENGTHUNIT[""metre"",1],
                ID[""EPSG"",8806]],
            PARAMETER[""False northing"",0,
                LENGTHUNIT[""metre"",1],
                ID[""EPSG"",8807]]],
        CS[Cartesian,2],
            AXIS[""easting"",east,
                ORDER[1],
                LENGTHUNIT[""metre"",1]],
            AXIS[""northing"",north,
                ORDER[2],
                LENGTHUNIT[""metre"",1]],
        ID[""EPSG"",26913]],
    VERTCRS[""NAVD88 height"",
        VDATUM[""North American Vertical Datum 1988""],
        CS[vertical,1],
            AXIS[""gravity-related height"",up,
                LENGTHUNIT[""metre"",1]],
        ID[""EPSG"",5703]]]"
"Q:\SWJemez_2012\12-113_as_corrected_from_3DiWest_15oct\Points\Ground_Returns","\.las","points",746,38280319602,1367145506,FALSE,337746.35,3943276.74,366885.93,3982837.73,"","COMPOUNDCRS[""NAD83 / UTM zone 13N + NAVD88 height"",
    PROJCRS[""NAD83 / UTM zone 13N"",
        BASEGEOGCRS[""NAD83"",
            DATUM[""North American Datum 1983"",
                ELLIPSOID[""GRS 1980"",6378137,298.257222101,
                    LENGTHUNIT[""metre"",1]]],
            PRIMEM[""Greenwich"",0,
                ANGLEUNIT[""degree"",0.0174532925199433]],
            ID[""EPSG"",4269]],
        CONVERSION[""UTM zone 13N"",
            METHOD[""Transverse Mercator"",
                ID[""EPSG"",9807]],
            PARAMETER[""Latitude of natural origin"",0,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8801]],
            PARAMETER[""Longitude of natural origin"",-105,
                ANGLEUNIT[""degree"",0.0174532925199433],
                ID[""EPSG"",8802]],
            PARAMETER[""Scale factor at natural origin"",0.9996,
                SCALEUNIT[""unity"",1],
                ID[""EPSG"",8805]],
            PARAMETER[""False easting"",500000,
                LENGTHUNIT[""metre"",1],
                ID[""EPSG"",8806]],
            PARAMETER[""False northing"",0,
                LENGTHUNIT[""metre"",1],
                ID[""EPSG"",8807]]],
        CS[Cartesian,2],
            AXIS[""easting"",east,
                ORDER[1],
                LENGTHUNIT[""metre"",1]],
            AXIS[""northing"",north,
                ORDER[2],
                LENGTHUNIT[""metre"",1]],
        ID[""EPSG"",26913]],
    VERTCRS[""NAVD88 height"",
        VDATUM[""North American Vertical Datum 1988""],
        CS[vertical,1],
            AXIS[""gravity-related height"",up,
                LENGTHUNIT[""metre"",1]],
        ID[""EPSG"",5703]]]"
